Date,Open,High,Low,Close,Adj Close,Volume
2000-06-14,118.875000,120.000000,115.500000,116.000000,75.792542,5282600
2000-06-15,116.000000,119.000000,115.875000,116.812500,76.323395,5386300
2000-06-16,116.312500,117.687500,113.250000,113.250000,73.995735,8046200
2000-06-19,113.500000,120.375000,113.250000,120.375000,78.651077,6059200
2000-06-20,120.000000,120.687500,115.375000,116.375000,76.037544,7103800
2000-06-21,115.562500,115.937500,113.500000,114.500000,74.812439,6487000
2000-06-22,114.125000,114.312500,111.250000,111.812500,73.056480,4853100
2000-06-23,113.500000,113.625000,110.812500,111.875000,73.097336,3360900
2000-06-26,113.000000,115.750000,112.875000,114.406250,74.751183,3625900
2000-06-27,111.625000,112.812500,108.750000,109.750000,71.708862,6607900
2000-06-28,110.000000,115.187500,109.875000,113.781250,74.342834,6436600
2000-06-29,111.750000,114.375000,110.062500,114.000000,74.485756,7688500
2000-06-30,112.687500,113.187500,108.625000,109.562500,71.586372,8612600
2000-07-03,108.750000,109.875000,108.312500,109.500000,71.545517,2304400
2000-07-05,105.625000,105.625000,101.125000,105.000000,68.605278,14339600
2000-07-06,105.000000,105.125000,100.000000,101.250000,66.155144,12932700
2000-07-07,102.687500,105.062500,101.625000,105.062500,68.646133,9031700
2000-07-10,104.687500,104.937500,102.875000,103.312500,67.502724,4212200
2000-07-11,103.250000,104.000000,101.000000,102.000000,66.645126,5619800
2000-07-12,103.187500,105.875000,102.625000,104.625000,68.360291,5550500
